state,county,NAME,Sex by Age_Estimate!!Total: (B01001_001E),Sex by Age_Estimate!!Total:!!Male: (B01001_002E)
13,033,"Burke County, Georgia",24337,11944
13,035,"Butts County, Georgia",25522,13710
13,037,"Calhoun County, Georgia",5594,3461
13,039,"Camden County, Georgia",55105,28750
13,043,"Candler County, Georgia",10946,5334
13,045,"Carroll County, Georgia",120060,58690
13,047,"Catoosa County, Georgia",68052,33371
13,049,"Charlton County, Georgia",12547,7331
13,051,"Chatham County, Georgia",296266,142685
13,053,"Chattahoochee County, Georgia",9402,6090
13,055,"Chattooga County, Georgia",24902,12763
13,057,"Cherokee County, Georgia",268567,132996
13,059,"Clarke County, Georgia",128864,61390
13,061,"Clay County, Georgia",2855,1335
13,063,"Clayton County, Georgia",296312,139076
13,065,"Clinch County, Georgia",6713,3337
13,067,"Cobb County, Georgia",765813,373782
13,069,"Coffee County, Georgia",43056,22197
13,071,"Colquitt County, Georgia",45813,22969
13,073,"Columbia County, Georgia",156921,76942
13,075,"Cook County, Georgia",17242,8337
13,077,"Coweta County, Georgia",147449,71903
13,079,"Crawford County, Georgia",12156,6358
13,081,"Crisp County, Georgia",20255,10171
13,083,"Dade County, Georgia",16239,8015
13,085,"Dawson County, Georgia",27355,14023
13,087,"Decatur County, Georgia",29063,14097
13,089,"DeKalb County, Georgia",761209,361801
13,091,"Dodge County, Georgia",19977,10501
13,093,"Dooly County, Georgia",11236,6299
13,095,"Dougherty County, Georgia",85038,39219
13,097,"Douglas County, Georgia",144735,69255
13,099,"Early County, Georgia",10753,5082
13,101,"Echols County, Georgia",3707,1703
13,103,"Effingham County, Georgia",65314,32382
13,105,"Elbert County, Georgia",19570,9358
13,107,"Emanuel County, Georgia",22907,11621
13,109,"Evans County, Georgia",10759,5425
13,111,"Fannin County, Georgia",25436,12481
13,113,"Fayette County, Georgia",119259,58066
13,115,"Floyd County, Georgia",98541,48250
13,117,"Forsyth County, Georgia",253225,126773
13,119,"Franklin County, Georgia",23480,11680
13,121,"Fulton County, Georgia",1061944,518219
13,123,"Gilmer County, Georgia",31519,15692
13,125,"Glascock County, Georgia",2903,1326
13,127,"Glynn County, Georgia",84566,39461
13,129,"Gordon County, Georgia",57785,28644
13,131,"Grady County, Georgia",26075,12816
13,133,"Greene County, Georgia",19020,9398
13,135,"Gwinnett County, Georgia",957977,470667
13,137,"Habersham County, Georgia",46326,22076
13,139,"Hall County, Georgia",204953,102512
13,141,"Hancock County, Georgia",8588,4502
13,143,"Haralson County, Georgia",30178,14860
13,145,"Harris County, Georgia",34914,17698
13,147,"Hart County, Georgia",26110,12979
13,149,"Heard County, Georgia",11489,5718
13,151,"Henry County, Georgia",240853,115211
13,153,"Houston County, Georgia",164117,79890
13,155,"Irwin County, Georgia",9487,4957
13,157,"Jackson County, Georgia",77033,38539
13,159,"Jasper County, Georgia",14882,7274
13,161,"Jeff Davis County, Georgia",14791,7389
13,163,"Jefferson County, Georgia",15591,7582
13,165,"Jenkins County, Georgia",8704,4357
13,167,"Johnson County, Georgia",9225,5556
13,169,"Jones County, Georgia",28382,13905
13,171,"Lamar County, Georgia",18676,9112
13,173,"Lanier County, Georgia",9964,4880
13,175,"Laurens County, Georgia",49407,23587
13,177,"Lee County, Georgia",32968,16560
13,179,"Liberty County, Georgia",65550,33739
